# 846 карточек игроков, заведённых 03.09.2026 сборщиком составов
# (docs/clubs_squads_wikidata.py --create-cards). В проде они лежат
# с active = false: голые, без фото, страны, описания и славы.
#
# ⚠️ QID ХРАНИТСЯ ЗДЕСЬ, ПОТОМУ ЧТО В cards ЕГО КОЛОНКИ НЕТ. Без него
# просмотры этим карточкам придётся искать резолвом по имени, а он
# промахивается молча: замер на первых четырёх карточках очереди —
# «Гарри Невилл», «Хын Мин Сон», «Расмус Хёйлунн», «Скотт МакТоминэй»
# — 4 из 4 не найдены. Отсюда и файл: угадывать нечего, имя ВЗЯТО
# из Викиданных, и вот сущность, откуда оно взято.
#
# card_id	name_ru	name_en	qid
8e3e5270-afe3-4893-8de8-51c832c48405	Mei Wei Rispens	Mei Wei Rispens	Q69531072
9704d432-33a0-4c59-8c5f-9ebcd0f58cc3	Nigel Ogidi Nwankwo	Nigel Ogidi Nwankwo	Q135394547
a610e04c-7ae8-4bd5-9525-ee20f3c60b68	Роджерно Аудстен	Rojendro Oudsten	Q135880981
0d76ea50-7004-41f5-993c-c5c9077d069d	Джелани Зеедорф	Jelani Seedorf	Q138007148
026ca0b2-d090-428d-be78-ef2cf3ed45dd	Akari Takeshige	Akari Takeshige	Q108573057
fef976e0-2808-4fdb-80b9-f6684340d598	Тайрик Бодак	Tyrick Bodak	Q108858343
152b694f-aea2-4cc6-9e35-9b0bc0c088af	Джейден Даннс	Jayden Danns	Q118724922
38c28d23-461b-4419-9177-bae69e2f91d4	Трей Ньони	Trey Nyoni	Q123367931
df321459-b3d7-410a-b408-f72aede120ca	Жереми Жаке	Jérémy Jacquet	Q124283398
c4ae5fbc-77b3-4f79-9fca-8b370027fc00	Рио Нгумоа	Rio Ngumoha	Q131466230
644ae538-6ed5-452b-af4b-19ba638a2238	Бобби Кларк	Bobby Clark	Q113632482
5de9589d-08b9-4c00-9c79-6dac61ff0ea4	Asier Osambela	Asier Osambela	Q122417337
622af950-27bf-4454-891e-2f9acc5ead20	Mauro Echegoyen Berrozpe	Mauro Echegoyen Berrozpe	Q123680744
6ac6d69a-cf48-49e8-b2bc-a4e62dedb7d7	Айтор Фернандес Абарискета	Aitor Fernández Abarisketa	Q3754541
a6e5b11d-7177-4262-a9ba-59703fa74761	Ромен Дель Кастийо	Romain Del Castillo	Q21584345
bec0746b-c436-4afc-96cd-2e1739e8bb8f	Икер Муньос	Iker Muñoz	Q116603156
2030ad9d-5857-4795-be87-7d097a2eec07	Алехандро Катена	Alejandro Catena Marugán	Q55640535
